"R0","qq","gammaa","gammap","cincres","cinc","clinc","AWT","AWT2"
2.25,0.45,0.25,0.25,9.91009258881621,2253.61132325379,6787.41998037093,5.6,"5.6 days"
2.25,0.45,0.25,0.25,8.15732112897054,2565.27852290709,7357.12596299322,5.95,"5.95 days"
2.25,0.45,0.25,0.25,6.27729592732883,2849.09914391821,7903.74260354357,6.3,"6.3 days"
2.25,0.45,0.25,0.25,4.80798958473094,3081.13444373945,8384.77369890739,6.65,"6.65 days"
2.25,0.45,0.25,0.25,3.79002510808613,3256.76109877854,8786.99466721507,7,"7 days"
2.25,0.5,0.25,0.25,1.21322204974642,583.548296888888,3892.73310973952,0,"0 days"
2.25,0.5,0.25,0.25,1.23435094228035,599.593798033688,3929.26366327692,0.35,"0.35 days"
2.25,0.5,0.25,0.25,1.26003226732859,617.642703273019,3969.05992119737,0.7,"0.7 days"
2.25,0.5,0.25,0.25,1.29055483330781,637.786131056047,4012.38901794742,1.05,"1.05 days"
2.25,0.5,0.25,0.25,1.32656615295108,660.22017723137,4059.68881521671,1.4,"1.4 days"
2.25,0.5,0.25,0.25,1.36915277582738,685.207902749116,4111.50196974732,1.75,"1.75 days"
2.25,0.5,0.25,0.25,1.41981427933372,713.102337616574,4168.51489153399,2.1,"2.1 days"
2.25,0.5,0.25,0.25,1.48095196807052,744.352643677747,4231.58092871092,2.45,"2.45 days"
2.25,0.5,0.25,0.25,1.55662621212288,779.555915980936,4301.80220884717,2.8,"2.8 days"
2.25,0.5,0.25,0.25,1.65374854737006,819.500961213106,4380.61198464831,3.15,"3.15 days"
2.25,0.5,0.25,0.25,1.78202124337589,865.231702909124,4469.89215418898,3.5,"3.5 days"
2.25,0.5,0.25,0.25,1.96378300075146,918.176435666997,4572.19268329194,3.85,"3.85 days"
2.25,0.5,0.25,0.25,2.23209838812962,980.349022241543,4691.08016309242,4.2,"4.2 days"
2.25,0.5,0.25,0.25,2.64053315014452,1054.58423582051,4831.57544546037,4.55,"4.55 days"
2.25,0.5,0.25,0.25,3.2461995120901,1144.95105332128,5000.9064664355,4.9,"4.9 days"
2.25,0.5,0.25,0.25,4.07158208984021,1257.09495328922,5209.24577586675,5.25,"5.25 days"
2.25,0.5,0.25,0.25,5.0151107872648,1397.91388324622,5469.50735650355,5.6,"5.6 days"
2.25,0.5,0.25,0.25,5.79541190018088,1573.60289723995,5794.50959715506,5.95,"5.95 days"
2.25,0.5,0.25,0.25,6.06180242452186,1784.43202016795,6188.43712480222,6.3,"6.3 days"
2.25,0.5,0.25,0.25,5.69163738647699,2019.26474030385,6636.71320226084,6.65,"6.65 days"
2.25,0.5,0.25,0.25,4.91581622630487,2256.19612662331,7105.00472365864,7,"7 days"
2.25,0.55,0.25,0.25,1.02360656083712,507.338096718523,3817.49321629971,0,"0 days"
2.25,0.55,0.25,0.25,1.03658485193802,519.312736750204,3847.23486825188,0.35,"0.35 days"
2.25,0.55,0.25,0.25,1.05216466271965,532.603567118701,3879.2296706038,0.7,"0.7 days"
2.25,0.55,0.25,0.25,1.07039574365865,547.252305259083,3913.62483872879,1.05,"1.05 days"
2.25,0.55,0.25,0.25,1.091439728888,563.340125456648,3950.65255529509,1.4,"1.4 days"
2.25,0.55,0.25,0.25,1.11561985403264,581.010039977036,3990.62796795005,1.75,"1.75 days"
2.25,0.55,0.25,0.25,1.14342084735624,600.426157041231,4033.91114790035,2.1,"2.1 days"
2.25,0.55,0.25,0.25,1.17542904927286,621.793308395858,4080.93496562521,2.45,"2.45 days"
2.25,0.55,0.25,0.25,1.21264769021582,645.385222162315,4132.24758754253,2.8,"2.8 days"
2.25,0.55,0.25,0.25,1.25648229864856,671.537876188792,4188.5158279802,3.15,"3.15 days"
2.25,0.55,0.25,0.25,1.30916555631006,700.671802906495,4250.56555120664,3.5,"3.5 days"
2.25,0.55,0.25,0.25,1.37375129311249,733.334407000197,4319.45414346933,3.85,"3.85 days"
2.25,0.55,0.25,0.25,1.45566769201024,770.239913558876,4396.54818862577,4.2,"4.2 days"
2.25,0.55,0.25,0.25,1.56339664952624,812.31955718539,4483.62434805864,4.55,"4.55 days"
2.25,0.55,0.25,0.25,1.71087177261656,860.836333535011,4583.0751802368,4.9,"4.9 days"
2.25,0.55,0.25,0.25,1.91668179290491,917.52163215886,4698.17242737749,5.25,"5.25 days"
2.25,0.55,0.25,0.25,2.20397392703064,984.746269099092,4833.41190945105,5.6,"5.6 days"
2.25,0.55,0.25,0.25,2.58653559388637,1065.70383397351,4994.91628804711,5.95,"5.95 days"
2.25,0.55,0.25,0.25,3.048883795385,1164.43414335219,5190.6225172196,6.3,"6.3 days"
2.25,0.55,0.25,0.25,3.51828890943839,1285.17544163763,5429.37503521876,6.65,"6.65 days"
2.25,0.55,0.25,0.25,3.86445477213163,1430.66973512425,5718.12205090155,7,"7 days"
2.25,0.6,0.25,0.25,0.878527956169347,444.949971038842,3755.89852491276,0,"0 days"
2.25,0.6,0.25,0.25,0.887065335649362,454.112621385832,3780.61429355568,0.35,"0.35 days"
2.25,0.6,0.25,0.25,0.897166260012252,464.153695123898,3806.92208973014,0.7,"0.7 days"
2.25,0.6,0.25,0.25,0.908830533224126,475.092749342202,3834.90383485769,1.05,"1.05 days"
2.25,0.6,0.25,0.25,0.922139493599761,486.990468207915,3864.72096501642,1.4,"1.4 days"
2.25,0.6,0.25,0.25,0.937149828683034,499.893508485813,3896.52702536746,1.75,"1.75 days"
2.25,0.6,0.25,0.25,0.954055666036215,513.90640813536,3930.55117649067,2.1,"2.1 days"
2.25,0.6,0.25,0.25,0.973049728102679,529.128876393498,3967.03107128294,2.45,"2.45 days"
2.25,0.6,0.25,0.25,0.994465424740892,545.686969327051,4006.25143546445,2.8,"2.8 days"
2.25,0.6,0.25,0.25,1.01869162988634,563.745461270662,4048.56470644669,3.15,"3.15 days"
2.25,0.6,0.25,0.25,1.04629358495313,583.498915036545,4094.3858097433,3.5,"3.5 days"
2.25,0.6,0.25,0.25,1.07815789040408,605.185364829503,4144.21592618351,3.85,"3.85 days"
2.25,0.6,0.25,0.25,1.11536521553149,629.105976394498,4198.67770286212,4.2,"4.2 days"
2.25,0.6,0.25,0.25,1.15970779761621,655.624487093966,4258.52516378715,4.55,"4.55 days"
2.25,0.6,0.25,0.25,1.21360180671161,685.219979194268,4324.73228366829,4.9,"4.9 days"
2.25,0.6,0.25,0.25,1.28067489661445,718.488523305262,4398.51514194795,5.25,"5.25 days"
2.25,0.6,0.25,0.25,1.36724939732846,756.224240214617,4481.47706890978,5.6,"5.6 days"
2.25,0.6,0.25,0.25,1.48084868983776,799.466584230528,4575.71719293096,5.95,"5.95 days"
2.25,0.6,0.25,0.25,1.63078384538488,849.60299859333,4684.03871345301,6.3,"6.3 days"
